Ticker,Date,lstm_pred,gru_pred,tft_pred,finbert_score,phi3_score,actual,final_pred,confidence,gate_active
StockNet_Ensemble,Day_0,1,1,1,-0.14215665189770466,-0.39362392081877107,0.0,1,1.0,0
StockNet_Ensemble,Day_1,1,0,1,0.11564667150915331,0.5900502699509849,0.0,1,0.34,0
StockNet_Ensemble,Day_2,1,0,0,-0.3175386050653797,0.3047594066168662,1.0,0,0.34,0
StockNet_Ensemble,Day_3,0,1,1,-0.7127439684729115,0.6823217901171013,1.0,1,0.1445,1
StockNet_Ensemble,Day_4,0,0,1,0.20299805253768577,-0.15644312835272633,0.0,0,0.32,0
StockNet_Ensemble,Day_5,0,1,0,-0.20215386996001428,-0.9810519751609936,1.0,0,0.34,0
StockNet_Ensemble,Day_6,1,0,0,0.3975694094503357,-0.7684157489536532,1.0,0,0.4005,1
StockNet_Ensemble,Day_7,0,0,1,-0.7331540164033841,-0.041677024670230045,1.0,0,0.32,0
StockNet_Ensemble,Day_8,0,1,0,-0.8022858898969865,-0.569221658425253,0.0,0,0.1564,1
StockNet_Ensemble,Day_9,0,1,1,0.7224545344718218,0.6334878085446525,0.0,1,0.4306,1
StockNet_Ensemble,Day_10,0,0,0,0.4881120539111996,0.6482000646228365,1.0,0,0.8102,1
StockNet_Ensemble,Day_11,1,1,1,-0.34771506216798076,0.7163120787273192,0.0,1,0.8506,1
StockNet_Ensemble,Day_12,0,1,1,-0.3322192628555325,0.03728036501981369,1.0,1,0.34,0
StockNet_Ensemble,Day_13,1,0,1,-0.5115063304521765,0.20538152177515046,1.0,1,0.34,0
StockNet_Ensemble,Day_14,0,0,1,0.29383485944838417,0.27517177599207154,1.0,0,0.32,0
StockNet_Ensemble,Day_15,0,0,1,-0.583516081046382,0.40102856572572776,1.0,0,0.3677,1
StockNet_Ensemble,Day_16,0,0,1,-0.36536415390616783,0.5136849668412904,1.0,0,0.32,0
StockNet_Ensemble,Day_17,1,1,0,0.07196806342846895,0.627270301054762,0.0,1,0.32,0
StockNet_Ensemble,Day_18,1,0,0,-0.1425090250957648,0.4128621901504712,1.0,0,0.34,0
StockNet_Ensemble,Day_19,0,0,0,0.5782709308290865,-0.2645166759910913,1.0,0,1.0,0
StockNet_Ensemble,Day_20,0,1,0,-0.9773771294253082,-0.860088695327131,1.0,0,0.0021,1
StockNet_Ensemble,Day_21,1,1,0,-0.5762605271903267,0.6890327104573999,0.0,1,0.1628,1
StockNet_Ensemble,Day_22,0,1,1,0.6536537233317101,-0.27659784612328275,1.0,1,0.34,0
StockNet_Ensemble,Day_23,1,0,0,0.7896950999239061,-0.6911691206248876,1.0,0,0.4481,1
StockNet_Ensemble,Day_24,0,1,0,0.9361614277838508,-0.8358762272197058,1.0,0,0.4949,1
StockNet_Ensemble,Day_25,1,1,1,0.407344380206331,0.6926393997750795,0.0,1,1.0,1
StockNet_Ensemble,Day_26,1,1,0,0.21571860178995284,-0.5398279953051439,1.0,1,0.32,0
StockNet_Ensemble,Day_27,0,1,0,-0.6962421763663578,-0.7173342704660766,1.0,0,0.1392,1
StockNet_Ensemble,Day_28,0,0,1,0.7300538298394448,0.981213044830304,1.0,0,0.0363,1
StockNet_Ensemble,Day_29,0,0,1,-0.9623553759084236,-0.0479880252640521,1.0,0,0.32,0
StockNet_Ensemble,Day_30,0,1,1,0.14798874025571584,0.6315542452864633,0.0,1,0.34,0
StockNet_Ensemble,Day_31,1,0,1,-0.2747319339050027,-0.6876148302294991,1.0,1,0.34,0
StockNet_Ensemble,Day_32,0,0,0,0.7945727563975258,0.42677467614916176,0.0,0,0.7965,1
StockNet_Ensemble,Day_33,1,1,1,0.8826814160789649,0.8630684434104567,1.0,1,1.0,1
StockNet_Ensemble,Day_34,1,0,0,0.2422221754225673,-0.1538427905137496,0.0,0,0.34,0
StockNet_Ensemble,Day_35,1,0,1,0.0464924984056061,-0.38542389420223744,0.0,1,0.34,0
StockNet_Ensemble,Day_36,1,0,0,0.3773734848060748,-0.4208389314558365,1.0,0,0.34,0
StockNet_Ensemble,Day_37,1,0,0,-0.8331646192917483,0.5493634268129328,1.0,0,0.4306,1
StockNet_Ensemble,Day_38,1,0,0,0.382126197699747,0.6224816440972409,0.0,0,0.2444,1
StockNet_Ensemble,Day_39,0,1,0,-0.7511218555649191,0.9910310377710541,1.0,0,0.4874,1
StockNet_Ensemble,Day_40,0,0,0,-0.35411723214846424,-0.737824265816656,1.0,0,0.8432,1
StockNet_Ensemble,Day_41,1,1,1,0.39896760656795127,0.9412599748137356,0.0,1,1.0,1
StockNet_Ensemble,Day_42,1,1,0,0.9676914269386563,0.019921233931544435,1.0,1,0.32,0
StockNet_Ensemble,Day_43,0,0,0,-0.608503562799696,-0.2808945762534476,0.0,0,1.0,0
StockNet_Ensemble,Day_44,0,0,1,-0.291432583008862,-0.2605553390220956,1.0,0,0.32,0
StockNet_Ensemble,Day_45,1,0,0,0.08131955670517033,0.7129430734055169,0.0,0,0.34,0
StockNet_Ensemble,Day_46,1,0,1,0.5692992791729863,-0.41563693119986844,0.0,1,0.2449,1
StockNet_Ensemble,Day_47,0,0,1,-0.8376368231620173,0.04648217103406149,1.0,0,0.32,0
StockNet_Ensemble,Day_48,0,1,1,-0.8853151575933971,-0.18414711007366602,1.0,1,0.34,0
StockNet_Ensemble,Day_49,0,1,1,-0.3336524615341696,0.41485341508206464,1.0,1,0.34,0
StockNet_Ensemble,Day_50,1,1,1,0.7310091410409021,0.16504501683636597,0.0,1,1.0,0
StockNet_Ensemble,Day_51,0,1,1,0.23783817121894857,0.6502984061036581,0.0,1,0.34,0
StockNet_Ensemble,Day_52,1,1,1,0.1984272379465717,0.2796684676365526,1.0,1,1.0,0
StockNet_Ensemble,Day_53,0,0,1,0.7918920590631331,-0.7070861792953935,1.0,0,0.4342,1
